source,documents,documents_with_esfi,percent_with_esfi,total_esfi_hits,mean_hits_per_document,mean_hits_positive_documents,median_hits_positive_documents,maximum_hits,percent_of_all_hits
Veteran,2063,234,11.342704798836646,381,0.184682501211828,1.6282051282051284,1,7,89.01869158878505
Dallas,857,21,2.4504084014002334,33,0.03850641773628939,1.5714285714285714,1,3,7.710280373831775
Finance,146,13,8.904109589041095,14,0.09589041095890416,1.0769230769230769,1,2,3.2710280373831777
