"domain","hits","percent_of_all_hits","cumulative_percent"
"administrative_processes",207,48.3644859813084,48.3644859813084
"access_barriers",94,21.9626168224299,70.3271028037383
"waiting_delay",84,19.6261682242991,89.9532710280374
"coordination_failures",43,10.0467289719626,100
